Programming Language,Profesia,Profession,CVOnline,Total
Delta Lake,4,1,0,5
AGILE,0,4,0,4
AGILIS,0,4,0,4
JMeter,4,0,0,4
RAP,1,3,0,4
.C.,0,4,0,4
.NET Core 6+,4,0,0,4
Oracle PL/SQL,3,1,0,4
Object-oriented programming,4,0,0,4
Webpack,4,0,0,4
ACCESS,0,4,0,4
.net,0,4,0,4
.NET/C#,3,0,1,4
WPF,3,1,0,4
Websocket,4,0,0,4
SpringBoot,3,1,0,4
JQuery,2,2,0,4
JENKINS,0,4,0,4
SCRUM,0,4,0,4
SOAP/REST,4,0,0,4
Matlab,4,0,0,4
HTML/CSS,4,0,0,4
Gradle,2,2,0,4
PromQL,4,0,0,4
Java 11+,2,2,0,4
Jinja,4,0,0,4
JAVA EE,4,0,0,4
SQL: Advanced,4,0,0,4
Polymer,4,0,0,4
COBOL,3,1,0,4
Apache Arrow,0,4,0,4
CI,0,4,0,4
C#.net,0,4,0,4
SAP Fiori,2,2,0,4
Excel,2,2,0,4
SAP UI5,1,3,0,4
React Native Web,4,0,0,4
TCL,3,1,0,4
Power Automate,1,1,2,4
PHP 8+,4,0,0,4
SAP C,0,4,0,4
NestJS,4,0,0,4
Twig,3,1,0,4
CUCUMBER,0,4,0,4
Express.js,4,0,0,4
SAP,0,4,0,4
Salt,4,0,0,4
Scripting,3,1,0,4
CYPRESS,0,4,0,4
Embedded C++,4,0,0,4
GitHub Actions,1,3,0,4
SOQL,2,2,0,4
YAML,3,1,0,4
Microsoft Power Apps,0,2,1,3
Microsoft Power Automate,0,2,1,3
ASP.NET Razor,3,0,0,3
Mocha,1,2,0,3
oData,3,0,0,3
Java 21+,3,0,0,3
JWT,3,0,0,3
Java SE,3,0,0,3
gRPC,2,0,1,3
DATABASES,0,3,0,3
Shell Scripting,2,0,1,3
Cucumber,1,2,0,3
RESTful API,2,1,0,3
REXX,3,0,0,3
Spring Cloud,3,0,0,3
SOAP UI,3,0,0,3
Unity,3,0,0,3
Siemens,3,0,0,3
X++,2,1,0,3
XPath,3,0,0,3
BPMN,3,0,0,3
APEX,2,1,0,3
API REST,0,3,0,3
Jquery,3,0,0,3
AJAX,3,0,0,3
Microservices,3,0,0,3
Tcl,0,3,0,3
vue.js,3,0,0,3
ANSIBLE,0,3,0,3
Nuxt.js,0,3,0,3
webservices,3,0,0,3
Lightning,0,0,3,3
POSTMAN,0,3,0,3
MsSQL Server,3,0,0,3
LangChain,2,1,0,3
Shell scripts,3,0,0,3
WebdriverIO,0,3,0,3
shell scripting,2,1,0,3
Blade,3,0,0,3
Keras,3,0,0,3
KOTLIN,0,3,0,3
Windows PowerShell,3,0,0,3
Power Query (M),3,0,0,3
.NET C#,1,0,2,3
QueryDSL,1,2,0,3
ABAP cloud,3,0,0,3
PowerPivot,0,2,1,3
JQUERY,0,3,0,3
.Net Core,2,0,1,3
F#,1,2,0,3
VBScript,3,0,0,3
Spring Security,2,1,0,3
OPC UA,3,0,0,3
SECURITY,0,3,0,3
Oracle SQL,3,0,0,3
SAPUI5,1,2,0,3
OpenCV,2,1,0,3
SYMFONY,0,3,0,3
Salesforce,0,1,2,3
Frontend,0,3,0,3
CAP,1,2,0,3
SQL DBA,3,0,0,3
Databricks,3,0,0,3
CUDA,0,3,0,3
DB2,3,0,0,3
Flows,2,1,0,3
Solidity,1,2,0,3
Siemens PLC,3,0,0,3
Qt,1,2,0,3
Cache,3,0,0,3
SCL,1,1,1,3
CD,0,3,0,3
DELPHI,1,2,0,3
SPARK,0,3,0,3
SELENIUM,0,3,0,3
WebSockets,2,1,0,3
VB,2,1,0,3
VB.NET,2,1,0,3
Redux Toolkit,2,1,0,3
Verilog,1,2,0,3
Pyspark,3,0,0,3
Next JS,3,0,0,3
Nest.js,3,0,0,3
Nette,3,0,0,3
QT,2,1,0,3
BI,0,3,0,3
Microsoft Power BI,0,1,1,2
pgSQL,0,1,1,2
jscript/vbscript,2,0,0,2
nUnit,2,0,0,2
.net core 3.1+),2,0,0,2
Allure,0,2,0,2
ARM,1,1,0,2
SAP Datasphere (DSP),0,2,0,2
.NET Framework 4.8,2,0,0,2
Verilog/SystemVerilog,0,2,0,2
ABAP for Hana,0,2,0,2
batch,2,0,0,2
XQuery,2,0,0,2
API TESTING,0,2,0,2
umbrella.js,2,0,0,2
ADA,0,2,0,2
xUnit,2,0,0,2
AI,1,1,0,2
ABAP/4,1,1,0,2
.NET 7+,2,0,0,2
Websockets,2,0,0,2
WinCC,2,0,0,2
.NET 9,1,1,0,2
ANALYTICS,0,2,0,2
.NET6,2,0,0,2
.Net Blazor,0,0,2,2
.Net Core 3.1,2,0,0,2
VIRTUALIZATION,0,2,0,2
M language,2,0,0,2
OpenAPI/Swagger,0,2,0,2
Maria DB,2,0,0,2
CDS views,2,0,0,2
CI/CD,0,2,0,2
Dart,2,0,0,2
Delphi,2,0,0,2
SQL Developer,2,0,0,2
Siemens TIA Portal,2,0,0,2
Shell script,0,2,0,2
composer,2,0,0,2
CDS Views,1,1,0,2
CDS view,1,0,1,2
Helm,1,1,0,2
HTML5/CSS3,2,0,0,2
Gson,0,2,0,2
HLSL,1,1,0,2
RSocket,2,0,0,2
RUBY,0,2,0,2
SolidJS,1,1,0,2
SAP Analytics Cloud (SAC),0,2,0,2
SAP Business Data Cloud (BDC),0,2,0,2
SAP Business Technology Platform (BTP),0,2,0,2
Elastic Kibana,2,0,0,2
ElasticSearch,2,0,0,2
SAP CAP,1,1,0,2
SAP Data Intelligence,0,2,0,2
Haskell,0,2,0,2
CloudFormation,2,0,0,2
Core Data Services,0,2,0,2
Camel,2,0,0,2
Canvas,2,0,0,2
Clean Code,0,2,0,2
Shell-Script,2,0,0,2
Spring boot,2,0,0,2
Spring-Boot,2,0,0,2
C#/.NET (.net Framework 4+,2,0,0,2
C Sharp (C#),0,2,0,2
Basic programming/scripting,2,0,0,2
Bicep,0,2,0,2
BigQuery,2,0,0,2
JEE,2,0,0,2
IntegrationHub,0,2,0,2
IEC 61131-3,0,1,1,2
JMETER,0,2,0,2
Sql,2,0,0,2
SQL/NoSQL,1,1,0,2
RestAssured,0,2,0,2
React/Next.js,1,0,1,2
Fortran,0,2,0,2
Fiori Elements,0,2,0,2
Flow Designer,0,2,0,2
Python: Basic,2,0,0,2
Julia,0,2,0,2
Junit,2,0,0,2
Jupyter,1,1,0,2
Jython,1,1,0,2
Javascript/Typescript,0,2,0,2
PixiJS,2,0,0,2
Python: Základy,2,0,0,2
Pydantic,2,0,0,2
IEC61131 – FBD/ST,2,0,0,2
INTELLIJ,0,2,0,2
QShell,2,0,0,2
QlikView,2,0,0,2
RPA,0,2,0,2
RESTful APIs,2,0,0,2
TeamCity,0,2,0,2
TSQL,1,1,0,2
Tableau,2,0,0,2
Tailwind,1,1,0,2
BOOTSTRAP,0,2,0,2
Python: Beginner,2,0,0,2
Nuxt3,2,0,0,2
OAuth,1,1,0,2
MLFlow,2,0,0,2
RDBMS,0,2,0,2
Lightning Web Components,2,0,0,2
ASP.NET CORE,0,2,0,2
Visual Basic .Net,2,0,0,2
PANDAS,0,2,0,2
PERL,2,0,0,2
Java: Advanced,2,0,0,2
JavaEE,2,0,0,2
JavaScript (ES6+),2,0,0,2
Grafana,2,0,0,2
LabView,2,0,0,2
Apex code,2,0,0,2
C-Sharp,2,0,0,2
Tailwind CSS,1,1,0,2
Openshift,2,0,0,2
LINQ,2,0,0,2
LUA,2,0,0,2
LabVIEW FPGA,0,0,2,2
Pega,2,0,0,2
PHPUnit,2,0,0,2
TESTING,0,2,0,2
Power Query M,1,1,0,2
PowerApps,1,0,1,2
JS/Typescript,0,2,0,2
PowerBI,1,1,0,2
TIA Portal,1,1,0,2
LAD,0,1,1,2
Karma,2,0,0,2
FastAPI: Advanced,2,0,0,2
TROUBLESHOOTING,0,2,0,2
FBD,0,1,1,2
PowerShell: Základy,2,0,0,2
PrimeNG,2,0,0,2
SAS,1,1,0,2
SAP Data Service,0,2,0,2
Machine Learning,0,2,0,2
SVN,0,2,0,2
Prometheus,2,0,0,2
Specmen e,0,2,0,2
STL,0,1,1,2
Angular 2,2,0,0,2
Angular JS,2,0,0,2
Angular.js,2,0,0,2
SVG,2,0,0,2
SASS/SCSS,2,0,0,2
SCADA,1,1,0,2
Pro*C,0,2,0,2
Unix,0,2,0,2
Apache Kafka,2,0,0,2
REST services,2,0,0,2
Gherkin,1,1,0,2
Glide,0,2,0,2
Android SDK,1,1,0,2
AZURE DEVOPS,0,2,0,2
WebAPI,2,0,0,2
B&R Automation Studio,2,0,0,2
Vue 3,2,0,0,2
ember.js,2,0,0,2
SIMATIC STEP 7,2,0,0,2
MS SQL Server 2022,2,0,0,2
Awaitility,0,2,0,2
VB .NET,2,0,0,2
Azure Data Factory,2,0,0,2
VBS,1,1,0,2
Assembler,2,0,0,2
Async/Await,1,1,0,2
Spring (Boot),2,0,0,2
Material UI,1,1,0,2
Typescript/Angular,2,0,0,2
CLOUD @SAP,0,2,0,2
NPM,0,2,0,2
CMD,2,0,0,2
NET,1,1,0,2
NgRx,2,0,0,2
Nightwatch,0,2,0,2
Spring Boot 3,2,0,0,2
Backend,0,2,0,2
Bamboo,0,2,0,2
Bash Scripting,2,0,0,2
Bash scripting,2,0,0,2
Podman,2,0,0,2
UNIX/LINUX scripting,2,0,0,2
UNIX/Linux,2,0,0,2
UiPath,2,0,0,2
Vitest,2,0,0,2
Access,1,1,0,2
Java/J2EE,2,0,0,2
ASP.NET Web API,1,1,0,2
ASP.NET Web Forms,2,0,0,2
ASP.NET WebAPI,2,0,0,2
ASP.Net Core,2,0,0,2
MySQL/MARIA DB,2,0,0,2
(My)SQL,1,0,0,1
.NET 8+,1,0,0,1
.NET Core 3.1+,1,0,0,1
.NET Core 6,1,0,0,1
.NET Framework 4+,1,0,0,1
.NET MVC,1,0,0,1
.NET core: Advanced,1,0,0,1
.NET framework,1,0,0,1
.NET framework/core,0,1,0,1
.NET5+,0,1,0,1
.Net Core 6+,0,1,0,1
.Net Framework 4.8,0,1,0,1
1C,1,0,0,1
A S400,1,0,0,1
ABAP Cloud,1,0,0,1
ABAP WebDynpro,0,0,1,1
git,1,0,0,1
iOS,1,0,0,1
iOS/Android,1,0,0,1
jQuiery,0,1,0,1
jetpack,0,1,0,1
jquery,0,1,0,1
kafka-streams,1,0,0,1
knockout,0,1,0,1
ksh,1,0,0,1
AFD,1,0,0,1
AI. PLC,1,0,0,1
AL,0,1,0,1
AMP script,0,1,0,1
APACHE,0,1,0,1
API (REST,1,0,0,1
API Dev,0,1,0,1
API: Intermediate,1,0,0,1
Webservice,0,1,0,1
ABAP on HANA,0,1,0,1
ABB,0,1,0,1
ABB robotics,1,0,0,1
ABP framework,1,0,0,1
ACCESS MACHINE LEARNING,0,1,0,1
ADATTÁRHÁZ,0,1,0,1
ADO. NET,1,0,0,1
WORDPRESS,0,1,0,1
WS,1,0,0,1
Web IDE,1,0,0,1
Web sockets,1,0,0,1
WebDriver,1,0,0,1
WebGL,1,0,0,1
WebRTC,0,1,0,1
WebSockety,1,0,0,1
Android programming: Advanced,1,0,0,1
Vue.JS,1,0,0,1
Vue.js 3,1,0,0,1
Vue.js V3,1,0,0,1
Vue.js: Advanced,1,0,0,1
WEBAPI,0,1,0,1
WEBSERVICE,0,1,0,1
WINDOWS,0,1,0,1
NoSQL Databases,1,0,0,1
NoSql,1,0,0,1
Node-RED,1,0,0,1
Node.js (Express.js,1,0,0,1
Node.js/npm,1,0,0,1
Nuget,0,1,0,1
Numpy,1,0,0,1
Nunjucks,0,1,0,1
Nest.js),1,0,0,1
Net,0,1,0,1
Next,1,0,0,1
Next.js (React),1,0,0,1
Next.js),1,0,0,1
Nix,0,1,0,1
No-code,0,1,0,1
NoSQL (MongoDB,1,0,0,1
NEAR,0,0,1,1
NGRX,1,0,0,1
NOSQL DATABASES,0,1,0,1
NRQL,1,0,0,1
NSQ,1,0,0,1
NUnit,1,0,0,1
Natural Language Processing (NLP),1,0,0,1
Neo4J,0,1,0,1
Microsoft.net,1,0,0,1
Mockito,1,0,0,1
Mongo DB,1,0,0,1
MySQL - Pokročilý,1,0,0,1
MySQL/Maria DB: Advanced,1,0,0,1
MySQL/MariaDB,0,1,0,1
MySQL: Advanced,1,0,0,1
Mysql,0,1,0,1
ORACLE ERP,0,1,0,1
ORACLE SQL,0,1,0,1
Object-Oriented Programming,0,1,0,1
OneDrive,0,0,1,1
Open3D,0,1,0,1
OpenAI,0,1,0,1
OpenAI API,1,0,0,1
OpenApi,0,1,0,1
Low-code,0,1,0,1
M Query,0,1,0,1
MIDDLEWARE,0,1,0,1
ML.NET,1,0,0,1
MLflow,1,0,0,1
OJet,0,1,0,1
OOP - Pokročilý,1,0,0,1
ORACLE DB2,0,1,0,1
Linux scripting,1,0,0,1
Linux server administration: Basic,1,0,0,1
Liquibase,1,0,0,1
Liquid,1,0,0,1
LiveWire,0,1,0,1
Livewire,1,0,0,1
Low-Code Development,0,1,0,1
Low-Level Programming,1,0,0,1
Nuxt 3,1,0,0,1
ODATA,0,0,1,1
Labview,0,1,0,1
LangGraph,0,1,0,1
Laravel (PHP framework) - Expert,1,0,0,1
Laravel (PHP framework): Expert,1,0,0,1
Lazarus,1,0,0,1
Linux Shell,1,0,0,1
Oracle),1,0,0,1
PGqsl,1,0,0,1
PHP - Expert,1,0,0,1
PHP 8,1,0,0,1
PHP 8.0+,1,0,0,1
PHP8,1,0,0,1
PHP8+,1,0,0,1
PHP: Advanced,1,0,0,1
Kotlin Multiplatform,1,0,0,1
Kotlin coroutines,1,0,0,1
Ktor,0,1,0,1
LAMP,1,0,0,1
LEAN,0,1,0,1
LESS,1,0,0,1
LESS/SASS/CSS3,1,0,0,1
LLM,0,1,0,1
KRL,1,0,0,1
KUKA robotics,1,0,0,1
Kafka),1,0,0,1
Karel,1,0,0,1
Kdb+,1,0,0,1
Knockout,0,1,0,1
Koin,1,0,0,1
Korn-shell,1,0,0,1
OpenJDK 11+,1,0,0,1
OpenSQL,0,1,0,1
OpenSearch,0,1,0,1
Oracle PL/SQL: Basic,1,0,0,1
Oracle PL/SQL: beginner,1,0,0,1
Oracle SQL Developer,1,0,0,1
KEYENCE,0,1,0,1
KQL,1,0,0,1
Jenkins/GitLab,1,0,0,1
JetBrains Exposed,0,1,0,1
Jetpack,0,1,0,1
Jinja2,1,0,0,1
KAFKA,1,0,0,1
KANBAN,0,1,0,1
Plotly,1,0,0,1
PnP,0,1,0,1
JavaScript/Typescript,1,0,0,1
JavaScript: Advanced,1,0,0,1
JavaScript: Basic,1,0,0,1
JavaScript: Expert,1,0,0,1
JavaScripte,1,0,0,1
Javarx,1,0,0,1
Javascript / Typescript,1,0,0,1
Jenkins CI,1,0,0,1
POSTGRES SQL,1,0,0,1
POWER BI,0,1,0,1
PSQL,0,1,0,1
Pascal,1,0,0,1
Java: Intermediate,1,0,0,1
JavaFX,1,0,0,1
JavaScirpt,1,0,0,1
JavaScript - Pokročilý,1,0,0,1
PHP: Basic,1,0,0,1
PHP: Úplný začiatočník,1,0,0,1
PIXI.js,1,0,0,1
PL-SQL,1,0,0,1
PL/pgSQL,1,0,0,1
PLC (Siemens),1,0,0,1
PLC /Allen - Bradley or Siemens/,1,0,0,1
PLC programming,1,0,0,1
Java/Spring,1,0,0,1
Java11+,0,1,0,1
Profinet,1,0,0,1
Protobuf,0,0,1,1
Protractor,1,0,0,1
Pug (Jade),1,0,0,1
Pulumi,0,1,0,1
PyQGIS,1,0,0,1
JUnit/TestNG,1,0,0,1
Java (J2EE),0,0,1,1
Java (základy),1,0,0,1
Java 8 or higher,1,0,0,1
Java Backend,0,1,0,1
Java Message Service (JMS),1,0,0,1
Java Script,1,0,0,1
Java-Script,0,0,1,1
PowerAutomate,1,0,0,1
PowerShell: Basic,1,0,0,1
PowerShell: Beginner,1,0,0,1
JSE/JEE,1,0,0,1
JSON formatting,1,0,0,1
JSON-LD,0,1,0,1
JSP,1,0,0,1
JSPython,0,1,0,1
Postgre,1,0,0,1
Postgre SQL,1,0,0,1
PostgreSQL / Oracle DB,1,0,0,1
PostgreSQL 9.6+,1,0,0,1
PostgreSQL: Basic,1,0,0,1
Postgres ORM,1,0,0,1
Power Apps,0,1,0,1
Power Platform,0,1,0,1
JNI,1,0,0,1
JPA/Hibernate,1,0,0,1
Quarkus),1,0,0,1
Quasar,1,0,0,1
QueryDsl,1,0,0,1
R/Bioconductor,0,1,0,1
RAPID,0,1,0,1
RDBMS (PostgreSQL,1,0,0,1
IntelliJ IDEA,0,1,0,1
Ionic,1,0,0,1
Ionic Framework,1,0,0,1
J-Component,1,0,0,1
JAVA (Spring Boot,1,0,0,1
JAVA/Kotlin,1,0,0,1
JAX-WS,1,0,0,1
JAXB,1,0,0,1
Qt/QML,0,1,0,1
Hugging Face,1,0,0,1
IEC61131-3,0,0,1,1
IFS,1,0,0,1
IFS: Advanced,1,0,0,1
ILE RPG,0,0,1,1
IRIS,1,0,0,1
InfluxDB,1,0,0,1
PyTest,1,0,0,1
Pyramid,1,0,0,1
Python 3.11+,1,0,0,1
Python: Advanced,1,0,0,1
Python: B1,1,0,0,1
Python: advanced,1,0,0,1
QShell: Advanced,1,0,0,1
Qlik Sense,1,0,0,1
HTML: Intermediate,1,0,0,1
HTMX,1,0,0,1
Hadoop,1,0,0,1
Hibernate ORM/JPA,1,0,0,1
Hibernate/JPA,0,1,0,1
Hilt,1,0,0,1
Honeywell,1,0,0,1
RPG: Advanced,1,0,0,1
Grid / Flex,0,1,0,1
HIBERNATE,0,1,0,1
HTML 5: Advanced,1,0,0,1
HTML/CSS/JS,1,0,0,1
HTML/CSS/SCSS,1,0,0,1
HTML4,0,0,1,1
HTML: Advanced,1,0,0,1
HTML: Expert,1,0,0,1
ROCM,0,1,0,1
ROS,1,0,0,1
ROS/ROS 2,0,1,0,1
ROS/ROS2,0,1,0,1
GraphAPI,0,1,0,1
GraphQL),1,0,0,1
Graphite,1,0,0,1
Grid,1,0,0,1
RDF,0,1,0,1
REDUX,0,1,0,1
RESP API,1,0,0,1
REST-API,1,0,0,1
RESTful,1,0,0,1
REXX: Advanced,1,0,0,1
RKE2,0,1,0,1
ROBOT,0,1,0,1
GitLab CI,1,0,0,1
Go-Lang,1,0,0,1
Google App Script,0,1,0,1
Google Cloud,0,1,0,1
Google Services GCM,1,0,0,1
RoR,1,0,0,1
Robot framework,1,0,0,1
Rockwell,1,0,0,1
Firestore,1,0,0,1
Flat Buffers,1,0,0,1
Flutter: Basic,1,0,0,1
GCP,1,0,0,1
GIT: Intermediate,1,0,0,1
GLSL,0,1,0,1
Git/GitLab,1,0,0,1
GitHub,1,0,0,1
React.Js,1,0,0,1
Repository pattern,1,0,0,1
Reset API: Advanced,1,0,0,1
Rest Assured,1,0,0,1
Restful API,1,0,0,1
Retrofit,1,0,0,1
Fiori/UI5,0,1,0,1
Firebase,1,0,0,1
RRD,1,0,0,1
RXJS,1,0,0,1
Rancher,0,1,0,1
Rapid,1,0,0,1
React & React Native,1,0,0,1
React Hook Form,0,1,0,1
React Native CLI,1,0,0,1
React Native: Advanced,1,0,0,1
FIORI,1,0,0,1
FORTRAN,0,1,0,1
Fanuc robotics,1,0,0,1
Figma,1,0,0,1
Final Form,0,1,0,1
SAP SECURITY,0,1,0,1
SAP Script,0,1,0,1
SAP. SECURITY ANALYTICS DATA MANAGEMENT,0,1,0,1
ElasticSearch - Pokročilý,1,0,0,1
Elixir,1,0,0,1
Embedded Linux,1,0,0,1
Embedded Programming,1,0,0,1
EnterpriseDB,0,1,0,1
Entity framework,1,0,0,1
Excel VBA,0,1,0,1
ExpressJS,1,0,0,1
SAP BW/4HANA,0,1,0,1
SAP Business Warehouse (BW),0,1,0,1
SAP CLOUD,0,1,0,1
SAP HANA DB,1,0,0,1
SAP S/4HANA,0,1,0,1
ESP-IDF,1,0,0,1
EXCEL,0,1,0,1
Elastic,1,0,0,1
Rockwell Studio 5000,0,1,0,1
RxJava,1,0,0,1
RxSwift,0,1,0,1
S7-1200,1,0,0,1
S7-1500,1,0,0,1
SAP ABAP OO,0,0,1,1
SAP BI ANALYTICS,0,1,0,1
SAP BTP,0,1,0,1
ELK Stack,1,0,0,1
ENTITY FRAMEWORK,0,1,0,1
ERP,0,1,0,1
SQL Databases,1,0,0,1
SQL/MSSQL,1,0,0,1
SQL: B1,1,0,0,1
SQL: Intermediate,1,0,0,1
SQL: Pokročilý,1,0,0,1
Dataverse,0,0,1,1
DeltaV,0,1,0,1
DevOps - Pokročilý,1,0,0,1
DirectX,1,0,0,1
DynamoDB,1,0,0,1
DynamoDB),1,0,0,1
EJB,1,0,0,1
ELK,1,0,0,1
SPFx,1,0,0,1
SPS,0,0,1,1
DB: Intermediate,1,0,0,1
DEBIAN,0,1,0,1
DEBUGGING,0,1,0,1
Dapper,1,0,0,1
Databricks CLI,1,0,0,1
Dataiku DSS,1,0,0,1
SAS/SQL,1,0,0,1
SECURITY TEST AUTOMATION,0,1,0,1
SECURITY TESTING,0,1,0,1
SIMATIC STEP 7: Pokročilý,1,0,0,1
SOAP API,0,1,0,1
SOAPUI,0,1,0,1
SOFTWARE TESTING,0,1,0,1
SOQL/SOSL,1,0,0,1
Couchbase,0,1,0,1
Css/SCSS,1,0,0,1
DATABASE,0,1,0,1
DATABASE TESTING,0,1,0,1
Semantic Kernel,1,0,0,1
ServiceNow,1,0,0,1
Services,1,0,0,1
SharePoint,0,0,1,1
